,PatternID,Text,Cause,Effect,cause_question,effect_question,cause_recalls,effect_recalls,cause_f1,effect_f1
0,82,"There are many other branches of geology. There is so much to know about our home planet that most geologists become specialists in one area. For example, a mineralogist studies minerals, as seen in (Figure 1.11).",There is so much,most geologists become specialists in one area,"why do most geologists become specialists in one area ?
","what happens when there is so much to know about our home planet ?
",1.0,1.0,0.5714285714285715,1.0
1,82,It is important that this chalk layer goes across the English Channel. The rock is so soft that the Channel Tunnel connecting England and France was carved into it! ,The rock is so soft,the Channel Tunnel connecting England and France was carved into it,"why was the channel tunnel carved into the chalk layer ?
","what was carved into the soft rock of the chalk layer ?
",0.5,0.5,1.0,0.7499999999999999
2,82,Temperatures and pressures at the center of the cloud were extreme. It was so hot that nuclear fusion reactions began. In these reactions hydrogen fuses to make helium.,It was so hot,nuclear fusion reactions began,"why did nuclear fusion reactions begin in the cloud ?
","what happened to hydrogen fuses to make helium ?
",0.0,0.75,1.0,0.6153846153846153
3,82,The early Earth had no atmosphere. Conditions were so hot that gases were not stable. ,Conditions were so hot,gases were not stable,"why were gases not stable in the early earth ?
","what was the effect of the hot conditions on the early earth ?
",0.5,1.0,1.0,0.5333333333333333
4,82,"The Great Salt Lake in Utah is an example of a saltwater lake. The water in a large lake may be so deep that sunlight cannot penetrate all the way to the bottom. Without sunlight, water plants and algae cannot live on the bottom of the lake.",The water in a large lake may be so deep,sunlight cannot penetrate all the way to the bottom,"why can ' t sunlight penetrate all the way to the bottom of a lake ?
","why can ' t water plants and algae live on the bottom of a large lake ?
",0.375,0.857142857,0.4444444444444445,0.3157894736842105
5,82, A flood occurs when so much water enters a stream or river that it overflows its banks. Flood waters from a river are shown in Figure 13.10.,A flood occurs when so much,it overflows its banks,"how much water enters a stream or river that overflows its banks ?
","what happens when so much water enters a stream or river ?
",0.6,0.75,0.5714285714285715,1.0
6,82,"At great depths, life becomes very difficult. The pressure is so great that only specially adapted creatures can live there. ",The pressure is so great,only specially adapted creatures can live there,"why can only specially adapted creatures live in the depths ?
","what is the effect of the pressure on the creatures in the depths ?
",0.5,0.857142857,0.5,0.7368421052631579
7,82,"The molecules absorb the Suns energy and are heated up. But there are so very few gas molecules, that the air still feels very cold. Molecules in the thermosphere gain or lose electrons.",But there are so very,the air still feels very cold,"are there many gas molecules in the thermosphere ?
","what happens when there are very few gas molecules in the air ?
",0.6,0.0,0.6666666666666666,0.3703703703703704
8,82,"Gas molecules are very far apart in this layer, but they are really hot. Earths gravity is so weak in the exosphere that gas molecules sometimes just float off into space. ",Earths gravity is so weak,gas molecules sometimes just float off into space,"why do gas molecules sometimes float off into space ?
","what happens when earths gravity is so weak in the exosphere ?
",1.0,0.875,0.8333333333333333,1.0
9,82,Plate movements trigger volcanoes. A huge eruption could spew so much gas and ash into the air that little sunlight would reach the surface for months or years. This could lower Earths temperature.,A huge eruption could spew so much,little sunlight would reach the surface for months or years,"how much gas and ash into the air could cause little sunlight to reach the surface ?
","what would happen to the earth if a volcano erupts ?
",0.0,0.444444444,0.4444444444444445,0.0
10,82,"Figure 18.14 shows a pond covered with algae. Algae may use up so much oxygen in the water that nothing else can grow. Soon, even the algae die out.",Algae may use up so much,nothing else can grow,"why can ' t anything else grow in a pond covered with algae ?
","what happens when algae use up so much oxygen in the water ?
",0.833333333,0.75,0.8,0.6153846153846153
11,82,"In some parts of the world, raw sewage and trash may be thrown into the water (see Figure 21.12). Coastal water may become so polluted that people get sick if they swim in it or eat seafood from it. The polluted water may also kill fish and other ocean life.",Coastal water may become so polluted,people get sick if they swim in it or eat seafood from it,"why do people get sick if they swim in coastal water ?
","what happens to people when coastal water becomes so polluted ?
",0.666666667,0.538461538,0.2857142857142857,0.96
