Text,Question,Answer,Template
"Government and Non - Government Organisations provided assistance technical , funding and material support to Tuvalu to assist with recovery , including WHO , UNICEF , UNDP , OCHA , World Bank , DFAT , New Zealand Red Cross & IFRC , Fiji National University and governments of New Zealand , Netherlands , UAE , Taiwan and the United States .","To what end did the government and non-governmental organizations provide technical, financial and material assistance to Tuvalu?","to assist with recovery","AmPncQgTemplate"
"By 1939 , in his Prolegomena for the Oxford Shakespeare , McKerrow had changed his mind about this approach , as he feared that a later edition - even if it contained authorial corrections - would "" deviate more widely than the earliest print from the author 's original manuscript .","Why had McKerrow changed his mind about this approach in his Prolegomena for the Oxford Shakespeare until 1939?","as he feared that a later edition - even if it contained authorial corrections - would "" deviate more widely than the earliest print from the author 's original manuscript","AmCauQgTemplate"
"Thus Baldwin V , Count of Flanders , invited Jacob ben Yekutiel and his fellow Jews to settle in his lands ; and soon after the Norman Conquest of England , William the Conqueror likewise extended a welcome to continental Jews to take up residence there .","To what end did William the Conqueror greet continental Jews shortly after the Norman conquest of England?","to take up residence there","AmPncQgTemplate"
"The closing ceremony at Justin Herman Plaza was canceled due to the presence of large numbers of protesters at the site .","Why was the closing ceremony at Justin Herman Plaza cancelled?","due to the presence of large numbers of protesters at the site","AmCauQgTemplate"
"Copper 's architectural use has been expanded in modern times to include interior and exterior wall cladding , building expansion joints , radio frequency shielding , and antimicrobial indoor products , such as attractive handrails , bathroom fixtures , and counter tops .","For what purpose was the architectural use of copper expanded in modern times?","to include interior and exterior wall cladding , building expansion joints , radio frequency shielding , and antimicrobial indoor products , such as attractive handrails , bathroom fixtures , and counter tops","AmPncQgTemplate"
"The mosaics in the Cathedral of Saint - Jean at Lyon have been dated to the 11th century because they employ the same non - antique simple colors .","Why were the mosaics in the Cathedral of Saint Jean in Lyon dated to the 11th century?","because they employ the same non - antique simple colors","AmCauQgTemplate"
"Soon , the Philadelphia and Atlantic City Railway was also constructed to transport tourists to Atlantic City .","What was the purpose of the Philadelphia and Atlantic City Railways?","to transport tourists to Atlantic City","AmPncQgTemplate"
"Their purple color arose because they extracted energy in the green portion of the spectrum using bacteriorhodopsin .","Why did their violet color arise?","because they extracted energy in the green portion of the spectrum using bacteriorhodopsin","AmCauQgTemplate"
"However , evidence for this is lacking , since the simplest organisms with a circadian rhythm , the cyanobacteria , do the opposite of this - they divide more in the daytime .","Why is there no evidence?","since the simplest organisms with a circadian rhythm , the cyanobacteria , do the opposite of this - they divide more in the daytime","AmCauQgTemplate"
"However , evidence for this is lacking , since the simplest organisms with a circadian rhythm , the cyanobacteria , do the opposite of this - they divide more in the daytime .","Why is there no evidence of this?","since the simplest organisms with a circadian rhythm , the cyanobacteria , do the opposite of this - they divide more in the daytime","AmCauQgTemplate"
