table,line,col,,Text,Cause,Effect
1,1,1,1287," Calculating acceleration is complicated if both speed and direction are changing or if you want to know acceleration at any given instant in time. However, its relatively easy to calculate average acceleration over a period of time when only speed is changing.",both speed and direction are changing or if you want to know acceleration at any given instant in time .,Calculating acceleration is complicated
1,1,2,3154,"Metamorphism may change the mineral composition and the texture of the rock. For that reason, a metamorphic rock may have a new mineral composition and/or texture. ",Metamorphism may change the mineral composition and the texture of the rock,a metamorphic rock may have a new mineral composition and/or texture .
2,1,1,1896,Plants make starches to store extra glucose. Consumers get starches by eating plants. Common sources of starches in the human diet are pictured in the Figure 1.2.,eating plants,Consumers get starches
1,1,3,732,"For example, alkaline Earth metals will react with cold water, but not explosively as alkali metals do. Because of their reactivity, alkaline Earth metals never exist as pure substances in nature. Instead, they are always found combined with other elements.","For example , alkaline Earth metals will react with cold water , but not explosively as alkali metals do",", alkaline Earth metals never exist as pure substances in nature ."
4,1,1,3311,"For example, with better farming machines, farm families no longer needed as many children to work in the fields. Laws were also passed that required children to go to school. They could no longer work and help support the family.",children,Laws were also passed
3,3,1,27,"One reason that the northeastern United States is so vulnerable to acid rain damage is that the rocks are not carbonates. Because pollutants can travel so far, much of the acid rain that falls hurts states or nations other than ones where the pollutants were released. All the rain that falls in Sweden is acidic and fish in lakes all over the country are dying.",Because pollutants can travel so far,falls hurts states or nations other than ones where the pollutants were released .
2,1,1,1879,It also has the same composition throughout. You can learn more about compounds and how they form by watching this video: MEDIA Click image to the left or use the URL below.,watching this video,You can learn more about compounds and how they form
1,1,1,2437,"To understand how gluons work, imagine holding a rubber band between your fingers. If you try to move your hands apart, they will be pulled back together by the rubber band. The farther apart you move your hands, the stronger the force of the rubber band pulling your hands together.",you try to move your hands apart,they will be pulled back together by the rubber band .
4,1,2,3319,"The sooner cancer is treated, the greater the chances of a cure. This is why it is important to know the warning signs of cancer. Having warning signs does not mean that you have cancer.","The sooner cancer is treated , the greater the chances of a cure",it is important to know the warning signs of cancer .
1,1,3,691,"Scientists and engineers have very active, ongoing research into new ways to harness energy from the Sun more efficiently. Because of the tremendous amount of incoming sunlight, solar power is being developed in the United States in southeastern California, Nevada, and Arizona. Solar panels supply power to the Interna- tional Space Station.","Scientists and engineers have very active , ongoing research into new ways to harness energy from the Sun more efficiently",", solar power is being developed in the United States in southeastern California , Nevada , and Arizona ."
