,Unnamed: 0,context,answer,question,start_idx,end_idx,predicted_answer,score
0,0,"There are many other branches of geology. There is so much to know about our home planet that most geologists become specialists in one area. For example, a mineralogist studies minerals, as seen in (Figure 1.11).",There is so much,"why do most geologists become specialists in one area ?
",42,57,[CLS],0.0
1,1,"There are many other branches of geology. There is so much to know about our home planet that most geologists become specialists in one area. For example, a mineralogist studies minerals, as seen in (Figure 1.11).",most geologists become specialists in one area,"what is so much to know about our home planet ?
",94,139,[CLS],0.0
2,2,It is important that this chalk layer goes across the English Channel. The rock is so soft that the Channel Tunnel connecting England and France was carved into it! ,The rock is so soft,"why was the channel tunnel connecting england and france carved into it ?
",71,89,the rock is so soft,1.0
3,3,It is important that this chalk layer goes across the English Channel. The rock is so soft that the Channel Tunnel connecting England and France was carved into it! ,the Channel Tunnel connecting England and France was carved into it,"why is the rock so soft ?
",96,162,the rock is so soft,0.0
4,4,Temperatures and pressures at the center of the cloud were extreme. It was so hot that nuclear fusion reactions began. In these reactions hydrogen fuses to make helium.,It was so hot,"why did nuclear fusion reactions begin at the center of the cloud ?
",68,80,[CLS],0.0
5,5,Temperatures and pressures at the center of the cloud were extreme. It was so hot that nuclear fusion reactions began. In these reactions hydrogen fuses to make helium.,nuclear fusion reactions began,"what happened when temperatures and pressures at the center of the cloud were extreme ?
",87,116,[CLS],0.0
6,6,The early Earth had no atmosphere. Conditions were so hot that gases were not stable. ,Conditions were so hot,"why were gases not stable in the early earth ?
",35,56,,0.0
7,7,The early Earth had no atmosphere. Conditions were so hot that gases were not stable. ,gases were not stable,"why were conditions so hot in the early earth ?
",63,83,[CLS],0.0
8,8,"The Great Salt Lake in Utah is an example of a saltwater lake. The water in a large lake may be so deep that sunlight cannot penetrate all the way to the bottom. Without sunlight, water plants and algae cannot live on the bottom of the lake.",The water in a large lake may be so deep,"why can sunlight not penetrate all the way to the bottom of the lake ?
",63,102,the great salt lake,0.18181818181818182
9,9,"The Great Salt Lake in Utah is an example of a saltwater lake. The water in a large lake may be so deep that sunlight cannot penetrate all the way to the bottom. Without sunlight, water plants and algae cannot live on the bottom of the lake.",sunlight cannot penetrate all the way to the bottom,"why is the water in a large lake so deep ?
",109,159,sunlight cannot penetrate all the way to the bottom,1.0
10,10, A flood occurs when so much water enters a stream or river that it overflows its banks. Flood waters from a river are shown in Figure 13.10.,A flood occurs when so much,"when does so much water enter a stream or river that it overflows its banks ?
",1,27,[CLS],0.0
11,11, A flood occurs when so much water enters a stream or river that it overflows its banks. Flood waters from a river are shown in Figure 13.10.,it overflows its banks,"what happens when so much water enters a stream or river ?
",65,86,a flood,0.0
12,12,"At great depths, life becomes very difficult. The pressure is so great that only specially adapted creatures can live there. ",The pressure is so great,"why can only specially adapted creatures live there ?
",46,69,[CLS],0.0
13,13,"At great depths, life becomes very difficult. The pressure is so great that only specially adapted creatures can live there. ",only specially adapted creatures can live there,"why is the pressure so great at great depths ?
",76,122,[CLS],0.0
14,14,"The molecules absorb the Suns energy and are heated up. But there are so very few gas molecules, that the air still feels very cold. Molecules in the thermosphere gain or lose electrons.",But there are so very,"why does the air still feel very cold ?
",56,76,[CLS],0.0
15,15,"The molecules absorb the Suns energy and are heated up. But there are so very few gas molecules, that the air still feels very cold. Molecules in the thermosphere gain or lose electrons.",the air still feels very cold,"why are there so few gas molecules ?
",102,130,[CLS],0.0
16,16,"Gas molecules are very far apart in this layer, but they are really hot. Earths gravity is so weak in the exosphere that gas molecules sometimes just float off into space. ",Earths gravity is so weak,"why do gas molecules sometimes float off into space ?
",73,97,[CLS],0.0
17,17,"Gas molecules are very far apart in this layer, but they are really hot. Earths gravity is so weak in the exosphere that gas molecules sometimes just float off into space. ",gas molecules sometimes just float off into space,"why is earths gravity so weak in the exosphere ?
",121,169,[CLS],0.0
18,18,Plate movements trigger volcanoes. A huge eruption could spew so much gas and ash into the air that little sunlight would reach the surface for months or years. This could lower Earths temperature.,A huge eruption could spew so much,"why would little sunlight reach the surface for months or years ?
",35,68,[CLS],0.0
19,19,Plate movements trigger volcanoes. A huge eruption could spew so much gas and ash into the air that little sunlight would reach the surface for months or years. This could lower Earths temperature.,little sunlight would reach the surface for months or years,"what would happen if a huge eruption spew gas and ash into the air ?
",100,158,lower earths temperature,0.0
20,20,"Figure 18.14 shows a pond covered with algae. Algae may use up so much oxygen in the water that nothing else can grow. Soon, even the algae die out.",Algae may use up so much,"why can nothing else grow in the water that nothing else can grow ?
",46,69,[CLS],0.0
21,21,"Figure 18.14 shows a pond covered with algae. Algae may use up so much oxygen in the water that nothing else can grow. Soon, even the algae die out.",nothing else can grow,"for what purpose can algae use up so much oxygen in the water ?
",96,116,[CLS],0.0
22,22,"In some parts of the world, raw sewage and trash may be thrown into the water (see Figure 21.12). Coastal water may become so polluted that people get sick if they swim in it or eat seafood from it. The polluted water may also kill fish and other ocean life.",Coastal water may become so polluted,"why do people get sick if they swim in it or eat seafood from it ?
",98,133,[CLS],0.0
23,23,"In some parts of the world, raw sewage and trash may be thrown into the water (see Figure 21.12). Coastal water may become so polluted that people get sick if they swim in it or eat seafood from it. The polluted water may also kill fish and other ocean life.",people get sick if they swim in it or eat seafood from it,"why may coastal water become so polluted ?
",140,196,[CLS],0.0
24,24,"In the mid 1900s, people were startled to see the Cuyahoga River in Cleveland, Ohio, burst into flames! The river was so polluted with oil and other industrial wastes that it was flammable. Nothing could live in it.",The river was so polluted,"why was the cuyahoga river flammable in the mid 1900s ?
",104,128,polluted with oil and other industrial wastes,0.18181818181818182
