,PatternID,Text,Cause,Effect
0,82,"There are many other branches of geology. There is so much to know about our home planet that most geologists become specialists in one area. For example, a mineralogist studies minerals, as seen in (Figure 1.11).",There is so much,most geologists become specialists in one area
1,82,It is important that this chalk layer goes across the English Channel. The rock is so soft that the Channel Tunnel connecting England and France was carved into it! ,The rock is so soft,the Channel Tunnel connecting England and France was carved into it
2,82,Temperatures and pressures at the center of the cloud were extreme. It was so hot that nuclear fusion reactions began. In these reactions hydrogen fuses to make helium.,It was so hot,nuclear fusion reactions began
3,82,The early Earth had no atmosphere. Conditions were so hot that gases were not stable. ,Conditions were so hot,gases were not stable
4,82,"The Great Salt Lake in Utah is an example of a saltwater lake. The water in a large lake may be so deep that sunlight cannot penetrate all the way to the bottom. Without sunlight, water plants and algae cannot live on the bottom of the lake.",The water in a large lake may be so deep,sunlight cannot penetrate all the way to the bottom
5,82, A flood occurs when so much water enters a stream or river that it overflows its banks. Flood waters from a river are shown in Figure 13.10.,A flood occurs when so much,it overflows its banks
6,82,"At great depths, life becomes very difficult. The pressure is so great that only specially adapted creatures can live there. ",The pressure is so great,only specially adapted creatures can live there
7,82,"The molecules absorb the Suns energy and are heated up. But there are so very few gas molecules, that the air still feels very cold. Molecules in the thermosphere gain or lose electrons.",But there are so very,the air still feels very cold
8,82,"Gas molecules are very far apart in this layer, but they are really hot. Earths gravity is so weak in the exosphere that gas molecules sometimes just float off into space. ",Earths gravity is so weak,gas molecules sometimes just float off into space
9,82,Plate movements trigger volcanoes. A huge eruption could spew so much gas and ash into the air that little sunlight would reach the surface for months or years. This could lower Earths temperature.,A huge eruption could spew so much,little sunlight would reach the surface for months or years
10,82,"Figure 18.14 shows a pond covered with algae. Algae may use up so much oxygen in the water that nothing else can grow. Soon, even the algae die out.",Algae may use up so much,nothing else can grow
11,82,"In some parts of the world, raw sewage and trash may be thrown into the water (see Figure 21.12). Coastal water may become so polluted that people get sick if they swim in it or eat seafood from it. The polluted water may also kill fish and other ocean life.",Coastal water may become so polluted,people get sick if they swim in it or eat seafood from it
12,82,"In the mid 1900s, people were startled to see the Cuyahoga River in Cleveland, Ohio, burst into flames! The river was so polluted with oil and other industrial wastes that it was flammable. Nothing could live in it.",The river was so polluted,it was flammable
13,82,"A temperature inversion over London, England, kept cold air and pollutants near the ground. The air became so polluted that thousands of people died in just a few days. This event was called the Big Smoke.",The air became so polluted,thousands of people died in just a few days
14,82,With this information they could know when to plant crops. Stars were so important that the patterns they made in the sky were named. These patterns are called constellations.,Stars were so important,the patterns they made in the sky were named
15,82,"A beam of light could travel from New York to Los Angeles and back again nearly 40 times in just one second. Even at that amazing rate, objects in space are so far away that it takes a lot of time for their light to reach us. Even light from the nearest star, our Sun, takes about 8 minutes to reach Earth.","Even at that amazing rate, objects in space are so far away",it takes a lot of time for their light to reach us
16,82,"As Figure 25.8 shows, the surface of Mercury is covered with craters, like Earths Moon. The presence of impact craters that are so old means that Mercury hasnt changed much geologically for billions of years. With only a trace of an atmosphere, it has no weather to wear down the ancient craters.",The presence of impact craters that are so old,Mercury hasnt changed much geologically for billions of years
17,82,"They are made of carbon dioxide, sulfur dioxide and large amounts of corrosive sulfuric acid! The atmosphere of Venus is so thick that the pressure on the surface of Venus is very high. In fact, it is 90 times greater than the pressure at Earths surface!",The atmosphere of Venus is so thick,the pressure on the surface of Venus is very high
18,82,Europa is heated by Jupiter. Jupiters tidal forces are so great that they stretch and squash its moon. This could produce enough heat for there to be liquid water.,Jupiters tidal forces are so great,they stretch and squash its moon
19,82,"The shape of the orbit is like a long, narrow ellipse. Plutos orbit is so elliptical that sometimes it is inside the orbit of Neptune. Plutos orbit is in the Kuiper belt.",Plutos orbit is so elliptical,sometimes it is inside the orbit of Neptune
21,82,Both are very lightweight gases. A star contains so much hydrogen and helium that the weight of these gases is enormous. The pressure at the center of a star is great enough to heat the gases.,A star contains so much,the weight of these gases is enormous
22,82,"If the core remaining after a supernova is more than about 5 times the mass of the Sun, the core collapses to become a black hole. Black holes are so dense that not even light can escape their gravity. For that reason, we cant see black holes.",Black holes are so dense,not even light can escape their gravity
23,82,Rocks are made of minerals. The minerals may be so tiny that you can only see them with a microscope. The minerals may be really large.,The minerals may be so tiny,you can only see them with a microscope
24,82,Renewable resources can be replaced as quickly as they are used. Renewable resources may also be so abundant that running out is impossible. The difference between non-renewable and renewable resources is like the difference between ordinary batteries and rechargeable ones.,Renewable resources may also be so abundant,running out is impossible
25,82,"This makes a weak acid, called carbonic acid. This happens so often that carbonic acid is a common, weak acid found in nature. This acid works to dissolve rock.",This happens so often,"carbonic acid is a common, weak acid found in nature"
26,82,"You also may have seen this if you put a can of soda into the freezer so that it cools down quickly. If you leave the can in the freezer too long, the liquid expands so much that it bends or pops the can. (For the record, water is very unusual.","If you leave the can in the freezer too long, the liquid expands so much",it bends or pops the can
27,82,"Limestone in the midwestern United States protects the area. One reason that the northeastern United States is so vulnerable to acid rain damage is that the rocks are not carbonates. Because pollutants can travel so far, much of the acid rain that falls hurts states or nations other than ones where the pollutants were released.",One reason that the northeastern United States is so vulnerable,the rocks are not carbonates
28,82,"One reason that the northeastern United States is so vulnerable to acid rain damage is that the rocks are not carbonates. Because pollutants can travel so far, much of the acid rain that falls hurts states or nations other than ones where the pollutants were released. All the rain that falls in Sweden is acidic and fish in lakes all over the country are dying.",Because pollutants can travel so far,falls hurts states or nations other than ones where the pollutants were released
29,82,"Non-renewable resources vary in their availability; some are very abundant and others are rare. Materials, such as gravel or sand, are technically non-renewable, but they are so abundant that running out is no issue. Some resources are truly limited in quantity: when they are gone, they are gone, and something must be found that will replace them.","Materials, such as gravel or sand, are technically non-renewable, but they are so abundant",running out is no issue
30,82,"Besides abundance, a resources value is determined by how easy it is to locate and extract. If a resource is difficult to use, it will not be used until the price for that resource becomes so great that it is worth paying for. For example, the oceans are filled with an abundant supply of water, but desalination is costly, so it is used only where water is really limited (Figure 1.1).","If a resource is difficult to use, it will not be used until the price for that resource becomes so great",it is worth paying for
31,82,"Earth was so hot for three reasons: Gravitational contraction: As small bodies of rock and metal accreted, the planet grew larger and more massive. Gravity within such an enormous body squeezes the material in its interior so hard that the pressure swells. As Earths internal pressure grew, its temperature also rose.",Gravity within such an enormous body squeezes the material in its interior so hard,the pressure swells
32,82,Ancient impact craters found on the Moon and inner planets indicate that asteroid impacts were common in the early solar system. Earth was struck so much in its first 500 million years that the heat was intense. Very few large objects have struck the planet in the past many hundreds of millions of year.,Earth was struck so much,the heat was intense
33,82,Intense heat from the early core drove rapid and vigorous mantle convection so that crust quickly recycled into the mantle. The recycling of basaltic crust was so effective that no remnants of it are found today. ,The recycling of basaltic crust was so effective,no remnants of it are found today
34,82,"Over time, layer upon layer of these remains accumulated. Eventually, the layers were buried so deeply that they were crushed by an enormous mass of earth. The weight of this earth pressing down on these plant and animal remains created intense heat and pressure.","Eventually, the layers were buried so deeply",they were crushed by an enormous mass of earth
35,82,"Whether an ice field moves or not depends on the amount of ice in the field, the steepness of the slope and the roughness of the ground surface. Ice moves where the pressure is so great that it undergoes plastic flow. Ice also slides at the bottom, often lubricated by water that has melted and travels between the ground and the ice.",Ice moves where the pressure is so great,it undergoes plastic flow
36,82,"The passageway traps the heated water underground, so that heat and pressure can build. Eventually, the pressure grows so great that the superheated water bursts out onto the surface to create a geyser. Figure 1.2.","Eventually, the pressure grows so great",the superheated water bursts out onto the surface to create a geyser
37,82,"Ice wedging works quickly, breaking apart rocks in areas with temperatures that cycle above and below freezing in the day and night, and also that cycle above and below freezing with the seasons. Ice wedging breaks apart so much rock that large piles of broken rock are seen at the base of a hillside, as rock fragments separate and tumble down. Ice wedging is common in Earths polar regions and mid latitudes, and also at higher elevations, such as in the mountains.",Ice wedging breaks apart so much,"large piles of broken rock are seen at the base of a hillside, as rock fragments separate and tumble down"
38,82,"From about 3.0 to 3.5 billion years ago the Moon was continually bombarded by meteorites. Some of these meteorites were so large that they broke through the Moons newly formed surface. Then, magma flowed out and filled the craters.",Some of these meteorites were so large,they broke through the Moons newly formed surface
39,82,"Certainly no one today doubts that Earth orbits a star, the Sun. Photos taken from space, observations made by astronauts, and the fact that there has been so much successful space exploration that depends on understanding the structure of the solar system all confirm it. But in the early 17th century saying that Earth orbited the Sun rather than the reverse could get you tried for heresy, as it did Galileo.","Photos taken from space, observations made by astronauts, and the fact that there has been so much",depends on understanding the structure of the solar system all confirm it
40,82,"This circle moves around Earth in a larger circle, called a deferent. Ptolemys version of the geocentric model worked so well that it remained the accepted model of the universe for more than a thousand years. ",Ptolemys version of the geocentric model worked so well,it remained the accepted model of the universe for more than a thousand years
41,82,"Rocks are made of minerals. The mineral grains in a rock may be so tiny that you can only see them with a microscope, or they may be as big as your fingernail or even your finger (Figure Rocks are identified primarily by the minerals they contain and by their texture.",The mineral grains in a rock may be so tiny,"you can only see them with a microscope, or they may be as big as your fingernail or even your finger"
42,82," Stars are made mostly of hydrogen and helium, which are packed so densely in a star that in the stars center the pressure is great enough to initiate nuclear fusion reactions. In a nuclear fusion reaction, the nuclei of two atoms combine to create a new atom.","Stars are made mostly of hydrogen and helium, which are packed so densely",in the stars center the pressure is great enough to initiate nuclear fusion reactions
43,82,This creates a huge hole or caldera into which the surface collapses (Figure 1.1). The caldera at Santorini in Greece is so large that it can only be seen by satellite. ,The caldera at Santorini in Greece is so large,it can only be seen by satellite
44,82,A supervolcano could change life on Earth as we know it. Ash could block sunlight so much that photosynthesis would be reduced and global temperatures would plummet. Volcanic eruptions could have contributed to some of the mass extinctions in our planets history.,Ash could block sunlight so much,photosynthesis would be reduced and global temperatures would plummet
46,82,"One cannot see stellar parallax with the naked-eye, so Aristotle concluded that the earth must be at rest. (The stars are so far away, that one needs a good telescope to measure stellar parallax, which was first measured in 1838.) Aristotle believed that the objects in the heavens are perfect and unchanging.",(The stars are so far away,"one needs a good telescope to measure stellar parallax, which was first measured in 1838"
47,82," The density of molecules is so low in the thermosphere that one gas molecule can go about 1 km before it collides with another molecule. Since so little energy is transferred, the air feels very cold",The density of molecules is so low,one gas molecule can go about 1 km before it collides with another molecule
48,82," There is no real outer limit to the exosphere, the outermost layer of the atmosphere; the gas molecules finally become so scarce that at some point there are no more. Beyond the atmosphere is the solar wind.","There is no real outer limit to the exosphere, the outermost layer of the atmosphere; the gas molecules finally become so scarce",at some point there are no more
49,82,"Uranus (YOOR-uh-nuhs) is named for the Greek god of the sky. From Earth, Uranus is so faint that it was unnoticed by ancient observers. William Herschel first discovered the planet in 1781.","From Earth, Uranus is so faint",it was unnoticed by ancient observers
50,82,"URL: The atmosphere of Venus is so thick that the atmospheric pressure on the planets surface is 90 times greater than the atmospheric pressure on Earths surface. The dense atmosphere totally obscures the surface of Venus, even from spacecraft orbiting the planet.",The atmosphere of Venus is so thick,the atmospheric pressure on the planets surface is 90 times greater than the atmospheric pressure on Earths surface
52,82,"The deeper water of a lake makes up the profundal zone. There isnt enough light for photosynthesis in this zone, so most organisms here eat dead organisms that drift down from the water above. Organisms in the profundal zone may include clams, snails, and some species of fish.","There isnt enough light for photosynthesis in this zone, so most",drift down from the water above
