,Unnamed: 0,Unnamed: 0.1,PatternID,Text,Cause,Effect,cause_question,effect_question
0,0,0,82,"There are many other branches of geology. There is so much to know about our home planet that most geologists become specialists in one area. For example, a mineralogist studies minerals, as seen in (Figure 1.11).",There is so much,most geologists become specialists in one area,"why do most geologists become specialists in one area ?
","what happens when there is so much to know about our home planet ?
"
1,1,1,82,It is important that this chalk layer goes across the English Channel. The rock is so soft that the Channel Tunnel connecting England and France was carved into it! ,The rock is so soft,the Channel Tunnel connecting England and France was carved into it,"why was the channel tunnel connecting england and france carved into it ?
","why is the rock so soft ?
"
2,2,2,82,Temperatures and pressures at the center of the cloud were extreme. It was so hot that nuclear fusion reactions began. In these reactions hydrogen fuses to make helium.,It was so hot,nuclear fusion reactions began,"why did nuclear fusion reactions begin ?
","what happened to hydrogen fuses to make helium in these reactions ?
"
3,3,3,82,The early Earth had no atmosphere. Conditions were so hot that gases were not stable. ,Conditions were so hot,gases were not stable,"why were gases not stable in the early earth ?
","what happened when conditions were so hot ?
"
4,4,4,82,"The Great Salt Lake in Utah is an example of a saltwater lake. The water in a large lake may be so deep that sunlight cannot penetrate all the way to the bottom. Without sunlight, water plants and algae cannot live on the bottom of the lake.",The water in a large lake may be so deep,sunlight cannot penetrate all the way to the bottom,"why can sunlight not penetrate all the way to the bottom of a saltwater lake ?
","why can water plants and algae not live on the bottom of a large lake without sunlight ?
"
5,5,5,82, A flood occurs when so much water enters a stream or river that it overflows its banks. Flood waters from a river are shown in Figure 13.10.,A flood occurs when so much,it overflows its banks,"what happens when so much water enters a stream or river that it overflows its banks ?
","what happens when so much water enters a stream or river ?
"
6,6,6,82,"At great depths, life becomes very difficult. The pressure is so great that only specially adapted creatures can live there. ",The pressure is so great,only specially adapted creatures can live there,"why can only specially adapted creatures live there ?
","what happens when the pressure is so great ?
"
7,7,7,82,"The molecules absorb the Suns energy and are heated up. But there are so very few gas molecules, that the air still feels very cold. Molecules in the thermosphere gain or lose electrons.",But there are so very,the air still feels very cold,"why does the air still feel very cold ?
","what happens to the air when there are so few gas molecules ?
"
8,8,8,82,"Gas molecules are very far apart in this layer, but they are really hot. Earths gravity is so weak in the exosphere that gas molecules sometimes just float off into space. ",Earths gravity is so weak,gas molecules sometimes just float off into space,"why do gas molecules sometimes float off into space ?
","why is earths gravity so weak in the exosphere ?
"
9,9,9,82,Plate movements trigger volcanoes. A huge eruption could spew so much gas and ash into the air that little sunlight would reach the surface for months or years. This could lower Earths temperature.,A huge eruption could spew so much,little sunlight would reach the surface for months or years,"why would little sunlight reach the surface for months or years ?
","what happens when a huge eruption spews gas and ash into the air ?
"
