,Unnamed: 0,context,question,answer,start_idx,end_idx
0,578,"The then Prime Minister Themba Dlamini declared a humanitarian crisis due to the combined effect of drought , land degradation , increased poverty , and HIV / AIDS .",Why did the then Prime Minister Themba Dlamini declare a humanitarian crisis?,"due to the combined effect of drought , land degradation , increased poverty , and HIV / AIDS",70,162
1,424,"During a temporary depression following the destruction of Hiroshima by the bomb produced by the Manhattan Project , he focused on complex physics problems , not for utility , but for self - satisfaction .",To what end did he focus on complex physical problems during a temporary depression following the destruction of Hiroshima by the Manhattan Project bomb?,"not for utility , but for self - satisfaction",158,202
2,882,"To counter the trend towards low - density suburban residential growth , the government began a series of controversial public housing projects in the inner city by the Housing Commission of Victoria , which resulted in demolition of many neighbourhoods and a proliferation of high - rise towers .",To what end did the government begin a series of controversial downtown public housing projects that led to the demolition of many neighborhoods and the proliferation of high-rise buildings?,To counter the trend towards low - density suburban residential growth,0,69
3,734,"[ The Council was convoked for the purpose of inquiring into the charges against Athanasius and other bishops , on account of which they were deposed from their sees by the Semi - Arian Synod of Antioch ( 341 ) , and went into exile .",To what end was the Council convened?,for the purpose of inquiring into the charges against Athanasius and other bishops,27,108
4,399,"Because of a clause in the Mexican Constitution , however , as the seat of the powers of the Union , it can never become a state , lest the capital of the country be relocated elsewhere .",But why never become a state?,Because of a clause in the Mexican Constitution,0,46
5,128,"Because pipes correspond 1-to-1 to endpoints , the terms are sometimes used interchangeably .",Why are the terms sometimes used interchangeably?,Because pipes correspond 1-to-1 to endpoints,0,43
6,796,This period is also significant because it marked the transition of American manufacturing to the industrial revolution .,Why is this period also significant?,because it marked the transition of American manufacturing to the industrial revolution,32,118
7,217,"Aburish states that Nasser was not fully capable of addressing Syrian problems because they were "" foreign to him "" .",Why hasn't Nasser been fully able to address Syria's problems?,"because they were "" foreign to him """,79,114
8,344,"There are some theories on emotions arguing that cognitive activity in the form of judgments , evaluations , or thoughts are necessary in order for an emotion to occur .","For what purpose are cognitive activity in the form of judgments , evaluations , or thoughts are necessary ?",in order for an emotion to occur,135,166
9,279,"The mas bands eventually converge on the Queen 's Park Savannah to pass on "" The Stage "" for judging .","For what purpose do The mas bands pass "" The Stage "" ?",for judging,89,99
