Text,Question,Answer,Template
"Government and Non - Government Organisations provided assistance technical , funding and material support to Tuvalu to assist with recovery , including WHO , UNICEF , UNDP , OCHA , World Bank , DFAT , New Zealand Red Cross & IFRC , Fiji National University and governments of New Zealand , Netherlands , UAE , Taiwan and the United States .","To what end did the government and non-governmental organizations provide technical, financial and material assistance to Tuvalu?","to assist with recovery","AmPncQgTemplate"
"By 1939 , in his Prolegomena for the Oxford Shakespeare , McKerrow had changed his mind about this approach , as he feared that a later edition - even if it contained authorial corrections - would "" deviate more widely than the earliest print from the author 's original manuscript .","Why had McKerrow changed his mind about this approach in his Prolegomena for the Oxford Shakespeare until 1939?","as he feared that a later edition - even if it contained authorial corrections - would "" deviate more widely than the earliest print from the author 's original manuscript","AmCauQgTemplate"
"Thus Baldwin V , Count of Flanders , invited Jacob ben Yekutiel and his fellow Jews to settle in his lands ; and soon after the Norman Conquest of England , William the Conqueror likewise extended a welcome to continental Jews to take up residence there .","To what end did William the Conqueror greet continental Jews shortly after the Norman conquest of England?","to take up residence there","AmPncQgTemplate"
"The closing ceremony at Justin Herman Plaza was canceled due to the presence of large numbers of protesters at the site .","Why was the closing ceremony at Justin Herman Plaza cancelled?","due to the presence of large numbers of protesters at the site","AmCauQgTemplate"
"Copper 's architectural use has been expanded in modern times to include interior and exterior wall cladding , building expansion joints , radio frequency shielding , and antimicrobial indoor products , such as attractive handrails , bathroom fixtures , and counter tops .","For what purpose was the architectural use of copper expanded in modern times?","to include interior and exterior wall cladding , building expansion joints , radio frequency shielding , and antimicrobial indoor products , such as attractive handrails , bathroom fixtures , and counter tops","AmPncQgTemplate"
"The mosaics in the Cathedral of Saint - Jean at Lyon have been dated to the 11th century because they employ the same non - antique simple colors .","Why were the mosaics in the Cathedral of Saint Jean in Lyon dated to the 11th century?","because they employ the same non - antique simple colors","AmCauQgTemplate"
"Soon , the Philadelphia and Atlantic City Railway was also constructed to transport tourists to Atlantic City .","What was the purpose of the Philadelphia and Atlantic City Railways?","to transport tourists to Atlantic City","AmPncQgTemplate"
"Their purple color arose because they extracted energy in the green portion of the spectrum using bacteriorhodopsin .","Why did their violet color arise?","because they extracted energy in the green portion of the spectrum using bacteriorhodopsin","AmCauQgTemplate"
"However , evidence for this is lacking , since the simplest organisms with a circadian rhythm , the cyanobacteria , do the opposite of this - they divide more in the daytime .","Why is there no evidence?","since the simplest organisms with a circadian rhythm , the cyanobacteria , do the opposite of this - they divide more in the daytime","AmCauQgTemplate"
"However , evidence for this is lacking , since the simplest organisms with a circadian rhythm , the cyanobacteria , do the opposite of this - they divide more in the daytime .","Why is there no evidence of this?","since the simplest organisms with a circadian rhythm , the cyanobacteria , do the opposite of this - they divide more in the daytime","AmCauQgTemplate"
"To assess intensity , the patient may be asked to locate their pain on a scale of 0 to 10 , with 0 being no pain at all , and 10 the worst pain they have ever felt .","To what end can they locate their pain on a scale of 0 to 10, where 0 is no pain at all, and 10 is the worst pain they have ever felt, put to the patient?","To assess intensity","AmPncQgTemplate"
"Mongols were forbidden by the Qing from crossing the borders of their banners , even into other Mongol Banners and from crossing into neidi ( the Han Chinese 18 provinces ) and were given serious punishments if they did in order to keep the Mongols divided against each other to benefit the Qing .","To what end have they done this?","in order to keep the Mongols divided against each other to benefit the Qing","AmPncQgTemplate"
"Mongols were forbidden by the Qing from crossing the borders of their banners , even into other Mongol Banners and from crossing into neidi ( the Han Chinese 18 provinces ) and were given serious punishments if they did in order to keep the Mongols divided against each other to benefit the Qing .","Why are the Mongols divided against each other?","to benefit the Qing","AmPncQgTemplate"
"However , this level of investigation is not performed due to COPD and asthma sharing similar principles of management : corticosteroids , long acting beta agonists , and smoking cessation .","Why not apply similar management principles to this type of study: corticosteroids, long-acting beta-agonists, and smoking cessation?","due to COPD and asthma","AmCauQgTemplate"
"However , the debate has deepened over budgeting for the $ 12 - 14 .","Why has the debate deepened?","over budgeting for the $ 12 - 14","AmCauQgTemplate"
"Crossbows , which had been known in Late Antiquity , increased in use partly because of the increase in siege warfare in the 10th and 11th centuries .","Why did crossbows, as they were known in late antiquity, increase?","partly because of the increase in siege warfare in the 10th and 11th centuries","AmCauQgTemplate"
"When a massive slave revolt planned by Denmark Vesey , a free black , was revealed in May 1822 , whites reacted with intense fear , as they were well aware of the violent retribution of slaves against whites during the Haitian Revolution .","Why did whites react with great fear when a massive slave revolt planned by Denmark Vesey, a free black man, was uncovered in May 1822?","as they were well aware of the violent retribution of slaves against whites during the Haitian Revolution","AmCauQgTemplate"
"5-inch ( 114 mm ) gun in a twin turret , which the army adopted in simplified single - gun mountings for static positions , mostly around ports where naval ammunition was available .","To what end has the Army deployed a twin turret in simplified single-rifle fortifications?","for static positions","AmPncQgTemplate"
"Humbert was a great lover of languages , and encouraged linguistic studies among the Dominicans , primarily Arabic , because of the missionary work friars were pursuing amongst those led astray or forced to convert by Muslims in the Middle East .","Why was Humbert a great lover of languages?","because of the missionary work friars were pursuing amongst those led astray or forced to convert by Muslims in the Middle East","AmCauQgTemplate"
"Humbert was a great lover of languages , and encouraged linguistic studies among the Dominicans , primarily Arabic , because of the missionary work friars were pursuing amongst those led astray or forced to convert by Muslims in the Middle East .","Humbert was a gifted natural scientist and philosopher. He is considered one of the founders of modern linguistics.","because of the missionary work friars were pursuing amongst those led astray or forced to convert by Muslims in the Middle East","AmCauQgTemplate"
"Some historians argue that Napoleon III also sought war , particularly for the diplomatic defeat in 1866 in leveraging any benefits from the Austro - Prussian War , and he believed he would win a conflict with Prussia .","To what end does Napoleon III seek war?","particularly for the diplomatic defeat in 1866 in leveraging any benefits from the Austro - Prussian War","AmPncQgTemplate"
"These branches were so pliable that they bent down to allow the lambs to feed when they are hungrie [ sic ] .","To what end did they bow?","to allow the lambs to feed when they are hungrie [ sic ]","AmPncQgTemplate"
"Military has purchased clusters of PS3 units for research purposes .","To what end did the military buy clusters of PS3 units?","for research purposes","AmPncQgTemplate"
"Companies locate in the Portuguese science parks to take advantage of a variety of services ranging from financial and legal advice through to marketing and technological support .","To what end are companies located in the Portuguese Science Parks?","to take advantage of a variety of services ranging from financial and legal advice through to marketing and technological support","AmPncQgTemplate"
"Dolphus Raymond has been exiled by society for taking a black woman as his common - law wife and having interracial children ; Mayella Ewell is beaten by her father in punishment for kissing Tom Robinson ; by being turned into a non - person , Boo Radley receives a punishment far greater than any court could have given him .","Why was Dolphus Raymond exiled by the Society?","for taking a black woman as his common - law wife and having interracial children","AmCauQgTemplate"
"Dolphus Raymond has been exiled by society for taking a black woman as his common - law wife and having interracial children ; Mayella Ewell is beaten by her father in punishment for kissing Tom Robinson ; by being turned into a non - person , Boo Radley receives a punishment far greater than any court could have given him .","Why is Mayella Ewell beaten by her father?","for kissing Tom Robinson","AmCauQgTemplate"
"2650 - 2600 BC ) , who said , "" Do not lessen the time of following desire , for the wasting of time is an abomination to the spirit .","Why has the time of subsequent desire not diminished?","for the wasting of time is an abomination to the spirit","AmCauQgTemplate"
"Under New York State 's gradual abolition act of 1799 , children of slave mothers were born to be eventually liberated but were held in indentured servitude until their mid - to - late twenties .","To what end were children born to slave mothers born in 1799 after the gradual abolition of slavery by the State of New York?","to be eventually liberated","AmPncQgTemplate"
"Martin Luther , who initiated the Protestant Reformation , said : "" Mother Mary , like us , was born in sin of sinful parents , but the Holy Spirit covered her , sanctified and purified her so that this child was born of flesh and blood , but not with sinful flesh and blood .","To what end has the Holy Spirit covered them?","so that this child was born of flesh and blood , but not with sinful flesh and blood","AmPncQgTemplate"
"Martin Luther , who initiated the Protestant Reformation , said : "" Mother Mary , like us , was born in sin of sinful parents , but the Holy Spirit covered her , sanctified and purified her so that this child was born of flesh and blood , but not with sinful flesh and blood .","To what end has the Holy Spirit sanctified them?","so that this child was born of flesh and blood , but not with sinful flesh and blood","AmPncQgTemplate"
"Martin Luther , who initiated the Protestant Reformation , said : "" Mother Mary , like us , was born in sin of sinful parents , but the Holy Spirit covered her , sanctified and purified her so that this child was born of flesh and blood , but not with sinful flesh and blood .","To what end has the Holy Spirit purified them?","so that this child was born of flesh and blood , but not with sinful flesh and blood","AmPncQgTemplate"
"Generally , contract law in transactions involving the sale of goods has become highly standardized nationwide as a result of the widespread adoption of the Uniform Commercial Code .","Why is contract law on sales of goods being standardised across the country?","as a result of the widespread adoption of the Uniform Commercial Code","AmCauQgTemplate"
