pid,freq,is_one_sent,table,line,col,ptxt,etxt,maintoken
0,265,1,1,1,1,"&C (,/;/./--) (&AND) so (-far) (,) &R","[u'It was not long before he saw me looking at him, and so he began to move.']",[[u'so']]
1,62,1,1,1,1,"&C (,/;/./--) (&AND) therefore (,) &R","[u'He never lies; therefore, everyone likes to make friends with him.']",[[u'therefore']]
2,35,1,1,1,1,"&C (,/;/./--) (&AND) thus &R","[u'Japan will be on the dark side of the Earth, and thus will lack the warming influence of the Sun.']",[[u'thus']]
3,9,1,1,1,1,"&C (,/;/./--) consequently (,) &R","[u'Her mother was seriously ill. Consequently, she left school.']",[[u'consequently']]
4,7,1,1,1,1,"&C (,/;/./--) (&AND) hence (,) &R",[u'Increase in temperature increases the rate of deposition and hence the heat loss to the surroundings should be prevented.'],[[u'hence']]
5,3,1,1,1,1,"&C (,/;/./--) (&AND) as a (&ADJ) result (,) &R","[u'All singers kept together. As a result,their performance was successful.']","[[u'as', u'a'], [u'result']]"
6,3,1,1,1,1,"&C ,/./;/and &R as a (&ADJ) result",[u'he defeated all competitors and won the scholarship as a result.'],"[[[u',', u'.', u';', u'and']], [u'as', u'a'], [u'result']]"
7,2,1,1,1,1,"&C (,/;/./--) (&AND) accordingly (,) &R","[u'They asked him to leave the meeting, and accordingly he went.']",[[u'accordingly']]
8,2,1,1,1,1,"&C ,/./;/and &R accordingly","[u'She knows ahead of time how much enhancement in loan size is coming, and can plan her activities accordingly.']","[[[u',', u'.', u';', u'and']], [u'accordingly']]"
9,1,1,1,1,1,"&C (,/;/./--) (&AND) as a (&ADJ) consequence (,) &R",[u'I missed the bus this morning and as a consequence was late for work. '],"[[u'as', u'a'], [u'consequence']]"
10,1,1,1,1,1,"&C ,/./;/and &R as a (&ADJ) consequence","[u'The warning failed to sink in, and he got into trouble as a consequence.']","[[[u',', u'.', u';', u'and']], [u'as', u'a'], [u'consequence']]"
11,1,1,1,1,1,"&C ,/./;/and &R in consequence","[u'She was found guilty, and lost her job in consequence.']","[[[u',', u'.', u';', u'and']], [u'in', u'consequence']]"
12,1,1,1,1,1,"&C (,/;/./--) (&AND) in consequence (,) &R","[u'We had not enough money to pay our bus fare, and in consequence we had to walk.']","[[u'in', u'consequence']]"
13,0,0,1,1,1,"owing to &C , &R","[u'Owing to CPEB has no clean market structure readjustment strategy now, lacking market development plan of the system completely.']","[[u'owing', u'to'], [u',']]"
14,0,0,1,1,1,&R@Complete@ if &C@Complete@,[u'An effective knowledge flow network enables a research team to be very powerful in generating new knowledge if every node can innovate and output new knowledge to appropriate members.'],[[u'if']]
15,0,0,1,1,1,"if/once &C@Complete@ , &R@Complete@","[u'If some light and mobile detection devices can be invented in the future, many new applications can be imagined, for example, people can get some services while thinking.']","[[[u'if', u'once']], [u',']]"
16,0,0,1,1,1,"if &C (,) then &R","[u'If representation A cites a set of representations B, and A is cited by a set of representations C, then both B and C constitute the extension of A.']","[[u'if'], [u'then']]"
