,Unnamed: 0,context,answer,question,start_idx,end_idx,predicted_answer,score
0,0,"There are many other branches of geology. There is so much to know about our home planet that most geologists become specialists in one area. For example, a mineralogist studies minerals, as seen in (Figure 1.11).",There is so much,"why do most geologists become specialists in one area ?
",42,57,there is so much to know about our home planet,0.5714285714285715
1,1,"There are many other branches of geology. There is so much to know about our home planet that most geologists become specialists in one area. For example, a mineralogist studies minerals, as seen in (Figure 1.11).",most geologists become specialists in one area,"what happens when there is so much to know about our home planet ?
",94,139,,0.0
2,2,It is important that this chalk layer goes across the English Channel. The rock is so soft that the Channel Tunnel connecting England and France was carved into it! ,The rock is so soft,"why was the channel tunnel carved into the chalk layer ?
",71,89,the rock is so soft,1.0
3,3,It is important that this chalk layer goes across the English Channel. The rock is so soft that the Channel Tunnel connecting England and France was carved into it! ,the Channel Tunnel connecting England and France was carved into it,"why is the rock so soft ?
",96,162,that the channel tunnel connecting england and france was carved into it,0.9523809523809523
4,4,Temperatures and pressures at the center of the cloud were extreme. It was so hot that nuclear fusion reactions began. In these reactions hydrogen fuses to make helium.,It was so hot,"why did nuclear fusion reactions begin in the cloud ?
",68,80,it was so hot,1.0
5,5,Temperatures and pressures at the center of the cloud were extreme. It was so hot that nuclear fusion reactions began. In these reactions hydrogen fuses to make helium.,nuclear fusion reactions began,"what happened when the cloud was so hot that hydrogen fuses to make helium ?
",87,116,nuclear fusion reactions began,1.0
6,6,The early Earth had no atmosphere. Conditions were so hot that gases were not stable. ,Conditions were so hot,"why were gases not stable in the early earth ?
",35,56,conditions were so hot,1.0
7,7,The early Earth had no atmosphere. Conditions were so hot that gases were not stable. ,gases were not stable,"why were conditions so hot on the early earth ?
",63,83,that gases were not stable,0.888888888888889
8,8,"The Great Salt Lake in Utah is an example of a saltwater lake. The water in a large lake may be so deep that sunlight cannot penetrate all the way to the bottom. Without sunlight, water plants and algae cannot live on the bottom of the lake.",The water in a large lake may be so deep,"why can sunlight not penetrate all the way to the bottom of a saltwater lake ?
",63,102,"the water in a large lake may be so deep that sunlight cannot penetrate all the way to the bottom . without sunlight , water plants and algae cannot live on the bottom of the lake",0.4444444444444445
9,9,"The Great Salt Lake in Utah is an example of a saltwater lake. The water in a large lake may be so deep that sunlight cannot penetrate all the way to the bottom. Without sunlight, water plants and algae cannot live on the bottom of the lake.",sunlight cannot penetrate all the way to the bottom,"why can ' t water plants and algae live on the bottom of a large lake ?
",109,159,without sunlight,0.22222222222222224
10,10, A flood occurs when so much water enters a stream or river that it overflows its banks. Flood waters from a river are shown in Figure 13.10.,A flood occurs when so much,"what happens when so much water enters a stream or river that it overflows its banks ?
",1,27,a flood,0.33333333333333337
11,11, A flood occurs when so much water enters a stream or river that it overflows its banks. Flood waters from a river are shown in Figure 13.10.,it overflows its banks,"what happens when so much water enters a stream or river ?
",65,86,,0.0
